action,pagurus,random,prewarm,sock
cs_bot,0.041666667,0.052777778,0,0.055555556
ep_users_sign_up,0.011111111,0.111111111,0.112962963,0.151851852
ep_products_table_update,0.183333333,0.190740741,0.166666667,0.112962963
ep_orders_create_order,0.087037037,0.107407407,0.072222222,0.17962963
ep_products_validate,0.106481481,0.112962963,0.37037037,0.398148148
ep_delivery_on_package_created,0.235185185,0.161111111,0.467592593,0.475
ep_payment_validate,0.236111111,0.35462963,0.444444444,0.416666667
ep_warehouse_on_order_events,0.246296296,0.101851852,0.385185185,0.346296296
ep_warehouse_table_update,0.190740741,0.159259259,0.011111111,0.064814815
ep_payment_cancel_payment,0.085185185,0.059259259,0.17962963,0.218518519
ep_delivery_table_requests,0.112962963,0.151851852,0.353703704,0.246296296
ep_payment_process_payment,0.094444444,0.137962963,0.436111111,0.447222222
ep_orders_on_event,0.082407407,0.196296296,0.361111111,0.37962963
ep_orders_table_update,0.117592593,0.147222222,0.247222222,0.250925926
ep_payment_update_payment,0.201851852,0.251851852,0.037037037,0.175925926
df_union,0.077380952,0.021825397,0.018518519,0.082010582
eo_athenarunner,0.013888889,0,0.097222222,0.083333333
eo_gluerunner,0.017195767,0.078703704,0.021825397,0.023148148
eo_ons3objectcreated,0.157407407,0.060185185,0.013888889,0.050925926
fmp_twitter_streaming,0.055555556,0.138888889,0.018518519,0.37037037
fmp_twitterddb,0.027777778,0,0,0.055555556
fmp_comparefaces,0.013888889,0.041666667,0.111111111,0.166666667
fp_notification,0.152777778,0.116666667,0.05,0.159259259
fp_conversion,0.113095238,0.168650794,0.416137566,0.439021164
fp_sentiment,0.057098765,0.051234568,0.341975309,0.434104938
t_payment_method,0.018518519,0.055555556,0,0
t_ddb_encrypt_item,0.083333333,0.011111111,0,0.055555556
sc_add_to_cart,0.094444444,0.07037037,0.209259259,0.287037037
sc_update_cart,0.096296296,0.048148148,0.272222222,0.235185185
sc_list_cart,0.04537037,0.085185185,0.277777778,0.274074074
sc_migrate_cart,0.212962963,0.055555556,0.264814815,0.222222222
sc_checkout_cart,0.136111111,0.071296296,0.294444444,0.32962963
sc_delete_from_cart,0.136111111,0.100925926,0.569444444,0.657407407
tcp_download_podcast,0.158333333,0.239814815,0.032407407,0.15
tcp_check_transcribe,0.177645503,0.203174603,0.05952381,0.111111111
tcp_process_podcast_rss,0.15462963,0.219444444,0.191666667,0.227777778
tcp_upload_to_elasticsearch,0.111111111,0.138888889,0.027777778,0.180555556
cer_lambda,0.074074074,0,0,0.101851852
