action,openwhisk,pagurus,random,prewarm,sock
cs_bot,0.646009716,0.054763317,0.054478557,0.491891904,0.145085525
ep_users_sign_up,0.826444864,0.023937186,0.021930311,0.011571538,0.012407852
ep_products_table_update,0.77501116,0.023170599,0.024392716,0.011056262,0.010504379
ep_orders_create_order,0.735012285,0.022166576,0.022089577,0.010922473,0.01103767
ep_products_validate,0.928549336,0.037059148,0.03146389,0.015189149,0.046103188
ep_delivery_on_package_created,0.973754162,0.059294648,0.056450972,0.755224739,0.13286246
ep_payment_validate,1.015941584,0.073593593,0.06987151,0.991350889,0.133517916
ep_warehouse_on_order_events,0.891769548,0.033425762,0.028885206,0.012266108,0.027088642
ep_warehouse_table_update,0.725880793,0.018683904,0.01644769,0.009997363,0.009271843
ep_payment_cancel_payment,0.941236444,0.029414262,0.028234005,0.011109126,0.011044521
ep_delivery_table_requests,0.871515979,0.022397215,0.0269663,0.011101842,0.010734399
ep_payment_process_payment,0.791115661,0.029782567,0.024471948,0.009656382,0.009247828
ep_orders_on_event,0.763920679,0.024423921,0.022157175,0.009231011,0.008368766
ep_orders_table_update,0.831362816,0.026556651,0.026118549,0.011409885,0.010048175
ep_payment_update_payment,0.773035698,0.01780618,0.0178322,0.009336588,0.009390897
df_union,0.784592233,0.179397409,0.185070078,1.052724238,0.567720944
eo_athenarunner,0.666114966,0.022827258,0.018144011,0.01210929,0.011585762
eo_gluerunner,0.661936892,0.018235366,0.018579729,0.011015779,0.010011228
eo_ons3objectcreated,0.691298713,0.019553872,0.019852322,0.011539105,0.009568711
fmp_twitter_streaming,0.665978548,0.03679892,0.04065609,0.512411963,0.125514124
fmp_twitterddb,0.634746869,0.015146017,0.016146822,0.008453925,0.008653257
fmp_comparefaces,0.647072554,0.018813809,0.016132407,0.008355227,0.007903409
fp_notification,0.694216614,0.036794883,0.040170866,0.458855839,0.13077051
fp_conversion,0.813102034,0.093111789,0.115439742,0.566434182,0.180545926
fp_sentiment,0.73017887,0.018785931,0.019953125,0.010492847,0.014131741
t_payment_method,0.62046411,0.015158978,0.016756594,0.008508782,0.010444048
t_ddb_encrypt_item,0.683178499,0.124767181,0.101925931,0.649096018,0.325297949
sc_add_to_cart,1.004573968,0.030016887,0.030813088,0.015377138,0.014591426
sc_update_cart,0.867022087,0.026540196,0.028139416,0.013343355,0.012636522
sc_list_cart,0.833397101,0.025874326,0.027247933,0.013835973,0.011922646
sc_migrate_cart,0.908196301,0.031266675,0.02957708,0.01279744,0.013906817
sc_checkout_cart,0.944982902,0.029062538,0.029899332,0.014342444,0.011657108
sc_delete_from_cart,0.704159275,0.02394262,0.020598732,0.009194652,0.009942558
tcp_download_podcast,0.708274907,0.09094052,0.091141287,0.851048204,0.442657948
tcp_check_transcribe,0.735631274,0.080890716,0.086079627,0.836245379,0.46194328
tcp_process_podcast_rss,0.723729088,0.083581498,0.091268931,0.832060477,0.460495974
tcp_upload_to_elasticsearch,0.699409437,0.094293601,0.102978427,0.770711414,0.444573302
cer_lambda,0.871213413,0.27263518,0.416669089,0.985124626,0.670122105
