action,openwhisk,pagurus
all,3420,572
1,31,1
2,441,50
3,29,2
4,2,1
5,16,9
6,2,1
7,1,0
8,0,0
9,2,0
10,40,12
11,3,1
12,6,1
13,5,5
14,11,4
15,2,0
16,1,0
17,1,0
18,3,0
19,0,0
20,0,0
21,7,3
22,18,3
23,0,0
24,1,0
25,0,0
26,10,8
27,49,4
28,6,0
29,0,0
30,0,0
31,19,6
32,0,0
33,0,0
34,0,0
35,0,1
36,0,0
37,0,0
38,1,0
39,0,0
40,0,0
41,0,0
42,0,2
43,0,0
44,0,0
45,0,0
46,2,0
47,0,0
48,0,0
49,0,0
50,1,2
51,0,0
52,0,0
53,10,1
54,21,1
55,24,2
56,0,0
57,1,2
58,5,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,1,0
65,1,0
66,10,1
67,0,0
68,40,8
69,17,2
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,17,1
80,15,5
81,0,0
82,27,11
83,0,0
84,0,0
85,0,0
86,0,0
87,26,2
88,15,5
89,0,0
90,10,2
91,3,1
92,0,1
93,0,1
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,1
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,1,1
128,0,0
129,28,4
130,12,2
131,23,7
132,4,0
133,5,0
134,5,0
135,27,3
136,7,2
137,28,3
138,0,0
139,25,2
140,2,1
141,0,0
142,25,10
143,0,0
144,0,0
145,23,9
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,17,5
153,2,1
154,10,3
155,23,8
156,36,3
157,29,7
158,22,4
159,2,1
160,1,0
161,32,7
162,40,3
163,40,5
164,41,12
165,38,5
166,35,4
167,39,5
168,42,8
169,43,8
170,42,9
171,39,5
172,39,3
173,39,3
174,13,2
175,23,4
176,16,1
177,3,0
178,46,2
179,70,3
180,4,3
181,19,5
182,31,1
183,2,1
184,16,3
185,8,0
186,14,1
187,46,7
188,46,0
189,46,2
190,46,5
191,23,6
192,46,5
193,46,5
194,18,5
195,32,3
196,7,2
197,16,5
198,27,5
199,1,0
200,5,1
201,23,0
202,19,2
203,10,1
204,14,1
205,6,3
206,9,2
207,1,0
208,27,3
209,1,0
210,23,5
211,23,6
212,23,1
213,23,4
214,23,7
215,23,5
216,23,5
217,23,3
218,23,6
219,23,5
220,23,5
221,23,6
222,23,5
223,23,8
224,23,7
225,23,4
226,23,5
227,23,5
228,22,5
229,23,2
230,1,0
231,21,4
232,4,0
233,9,4
234,13,3
235,4,1
236,14,4
237,1,0
238,7,1
239,2,0
240,2,0
241,1,0
242,0,0
243,10,1
244,13,2
245,12,3
246,3,0
247,12,2
248,3,1
249,8,3
250,8,1
251,9,0
252,4,1
253,3,0
254,2,0
255,1,0
256,6,2
257,2,0
258,2,1
259,8,1
260,6,4
261,1,1
262,7,1
263,2,0
264,6,1
265,5,0
266,1,0
267,1,1
268,3,0
269,5,0
270,3,0
271,1,0
272,1,0
273,1,1
274,2,0
275,4,1
276,3,0
277,1,1
278,2,0
279,1,0
280,3,0
281,4,1
282,1,0
283,2,0
284,3,0
285,1,0
286,2,0
287,1,0
288,3,3
289,3,1
290,1,0
291,2,1
292,1,0
293,2,0
294,1,0
295,2,0
296,2,1
297,1,1
298,2,0
299,0,0
300,2,1
301,1,1
302,2,0
303,0,0
304,1,0
305,2,1
306,2,0
307,1,0
308,2,1
309,2,0
310,1,0
311,1,0
312,2,0
313,2,0
314,2,0
315,1,0
316,0,0
317,1,0
318,1,0
319,1,0
320,1,1
321,1,0
322,1,0
323,1,0
324,1,0
325,1,1
326,1,0
327,1,0
328,1,0
329,1,1
330,1,0
331,1,1
332,1,0
333,0,0
334,1,0
335,1,0
336,1,0
337,1,0
338,1,0
339,1,0
340,0,0
341,1,0
342,1,0
343,1,0
344,1,0
345,1,0
346,0,0
347,1,0
348,1,1
349,0,0
350,0,0
351,1,0
352,1,0
353,1,1
354,0,0
355,1,0
356,1,1
357,1,0
358,1,0
359,1,0
360,1,0
361,0,0
362,1,0
363,1,0
364,1,0
365,1,1
366,1,0
367,0,0
368,1,0
369,1,0
370,1,0
371,1,0
372,1,0
373,1,0
374,1,1
375,1,0
376,1,0
377,1,0
378,1,0
379,0,0
380,1,0
381,1,1
382,1,0
383,0,0
384,1,0
385,0,0
386,1,0
387,1,0
388,0,0
