action,openwhisk,pagurus,pagurus/openwhisk
1,1.0260887145996094,1.1366610527038574,1.1077609923303704
2,0.9079296588897704,0.97987699508667,1.0792432932358196
3,0.7460842132568359,0.4137976169586179,0.5546258848612978
4,2.1105523109436035,,
5,2.2332215309143066,2.1026780605316158,0.9415447735141418
6,1.115053653717041,,
7,2.4593164920806885,2.2742745876312256,0.9247588079674489
8,1.4409637451171875,1.6954846382141116,1.1766324058876478
9,3.63896918296814,3.6486203670501713,1.0026521752718331
10,0.7871375083923341,,
11,4.0374159812927255,4.235626459121703,1.0490934000230299
12,1.0233175754547121,1.3647093772888184,1.3336127611043995
13,2.347430229187012,2.409720659255981,1.0265355831642937
14,1.4335987567901611,,
15,1.9233102798461916,1.6227073669433594,0.8437054509338598
16,1.0490140914916992,,
17,2.7561488151550297,3.18637490272522,1.156096828010352
18,2.907031536102295,2.4179835319519043,0.8317706574294343
19,2.639653444290161,,
20,1.5042145252227783,1.5295727252960205,1.016858100788175
21,0.7339763641357422,0.7249975204467773,0.9877668490053663
22,0.9900357723236084,1.0084505081176758,1.0186000711376804
23,,,
24,,,
25,,,
26,,,
27,1.086399793624878,1.0848686695098877,0.9985906439563271
28,,,
29,,,
30,0.9913220405578612,1.0462198257446291,1.055378356316858
31,,,
32,,,
33,,1.074507474899292,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,1.21431303024292,
40,,,
41,,,
42,5.272321701049805,5.228341341018677,0.9916582555987866
43,,,
44,,,
45,,0.952017068862915,
46,,,
47,,2.583590269088745,
48,,,
49,,,
50,,,
51,,,
52,1.8853597640991209,2.221050500869751,1.1780512892885633
53,,,
54,0.9175338745117188,1.7225286960601809,1.8773461600824861
55,,1.3091130256652832,
56,4.863648176193237,4.536373853683472,0.9327101158114767
57,,,
58,,0.9724667072296144,
59,,,
60,,,
61,,,
62,,,
63,,,
64,1.1316874027252195,1.4941685199737549,1.3203014510682398
65,1.9020724296569824,2.2997868061065674,1.2090952848316656
66,0.9540441036224364,,
67,,,
68,1.000518560409546,,
69,1.2079749107360842,1.1745140552520752,0.972300041013584
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,0.9065661430358888,1.1640045642852783,1.2839709195263849
80,,,
81,0.8273749351501465,1.2653145790100098,1.5293121960243925
82,,,
83,1.9283406734466555,1.904678106307984,0.987729052514161
84,,,
85,,,
86,,,
87,1.1218125820159912,1.0995419025421145,0.9801475934296846
88,0.9427175521850586,0.9318342208862304,0.9884553636732417
89,,,
90,0.7402267456054688,,
91,2.916247129440308,2.487431526184082,0.8529563565010606
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,4.2035651206970215,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,2.765632152557373,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,0.9067518711090088,,
128,,,
129,0.8000926971435547,0.8079297542572021,1.0097951864098083
130,1.4662513732910156,1.4863650798797607,1.0137177751067334
131,,,
132,1.2859814167022705,1.04761528968811,0.8146426348637144
133,2.5761725902557373,,
134,1.8461813926696775,1.9043972492218015,1.031533118459146
135,1.8580677509307864,1.4471967220306396,0.7788718798362849
136,0.9330077171325684,,
137,1.3195028305053709,,
138,1.659059762954712,,
139,,,
140,0.7109520435333252,,
141,1.93722939491272,2.358332872390747,1.2173740903291421
142,1.1531920433044434,1.1660399436950684,1.0111411628836855
143,,,
144,,5.610349893569946,
145,,,
146,,,
147,,,
148,,,
149,,,
150,,,
151,0.9851140975952148,1.019764423370361,1.0351739213353377
152,1.1376049518585205,1.4955954551696775,1.3146878911930746
153,2.8575870990753174,2.816930055618286,0.9857722469876116
154,3.3018336296081543,3.969817876815796,1.2023070578776904
155,2.185060739517212,2.21209716796875,1.0123733075070087
156,0.8037428855895996,0.7591571807861328,0.9445274034733631
157,2.0261490345001216,2.2081224918365483,1.0898124739285637
158,1.7514643669128418,1.5384025573730469,0.8783521871385023
159,0.961543083190918,0.8103382587432861,0.842747738410376
160,1.4616250991821291,0.7625832557678223,0.5217365630862082
161,1.5624041557312012,1.5915231704711914,1.01863731265254
162,2.79129695892334,2.4382200241088867,0.8735079283894458
163,2.6817550659179688,2.665862321853638,0.994073752571102
164,0.7211844921112059,0.7623267173767091,1.0570481280664574
165,0.9395346641540528,1.1526439189910889,1.2268242598892478
166,1.1123239994049072,1.007335186004639,0.9056131006285603
167,1.238196611404419,2.054320812225342,1.6591232711380446
168,0.8116986751556396,0.840038537979126,1.0349142652204677
169,1.3599131107330322,1.2554600238800049,0.9231913524263884
170,4.74203896522522,4.759932041168212,1.003773287413749
171,2.5807888507843018,2.548855066299439,0.9876263474731154
172,0.9545958042144777,1.0227835178375244,1.0714309798157529
173,0.7128205299377441,0.722578763961792,1.0136896085539233
174,1.5317695140838623,1.884868860244751,1.2305172827336717
175,1.1082570552825926,1.0000193119049072,0.9023351641554982
176,3.58800745010376,,
177,1.462930679321289,1.4529380798339844,0.9931694648088585
178,1.4184491634368896,1.4828472137451172,1.045400323091024
179,0.8714232444763184,1.035125732421875,1.1878564623829073
180,3.8592708110809313,3.819334983825684,0.9896519759275297
181,1.4142303466796875,,
182,1.2341094017028806,0.7726278305053711,0.6260610521557196
183,1.04923415184021,,
184,0.8276591300964355,1.0823888778686523,1.3077713257902885
185,2.2737791538238525,1.9474084377288816,0.8564633176682495
186,1.0231637954711914,1.0510640144348145,1.02726857526343
187,2.0296099185943604,1.9651453495025637,0.9682379512924125
188,1.9963822364807131,2.342261791229248,1.1732531718766757
189,0.8177976608276367,1.445336103439331,1.767351721178324
190,1.033980131149292,,
191,3.673715829849243,,
192,2.9390957355499268,,
193,3.832765817642212,,
194,0.9990200996398926,,
195,1.3701963424682615,1.4201085567474363,1.0364270526290147
196,1.317899465560913,1.3035292625427246,0.9890961310830547
197,1.0383176803588867,1.4007794857025146,1.349085652878747
198,5.03955054283142,,
199,,,
200,1.3546082973480225,0.9732031822204591,0.7184388166865231
201,0.9350392818450928,1.2984385490417485,1.3886459898022336
202,1.1314115524291992,0.8289957046508789,0.7327092452529606
203,1.10339093208313,1.086521863937378,0.9847116124890527
204,,,
205,3.1563909053802486,3.1633718013763428,1.00221167029223
206,2.186542510986328,,
207,1.4885101318359375,1.539736032485962,1.034414210259249
208,0.8574018478393555,,
209,0.864389181137085,0.9417514801025392,1.089499383673088
210,1.4909133911132812,1.434858322143555,0.9624021963288764
211,1.9960117340087888,1.418673753738403,0.7107542153017005
212,1.642646551132202,1.67152738571167,1.0175818921968098
213,1.383312463760376,1.5716986656188965,1.1361848510685824
214,1.7120952606201172,1.7354898452758791,1.0136643008095756
215,2.1652708053588867,2.0264556407928467,0.9358901601487987
216,2.8791191577911377,2.4400758743286133,0.8475077760243315
217,1.3429327011108398,1.402240753173828,1.0441630857703665
218,5.0845372676849365,4.583287239074707,0.9014167853983582
219,1.0224032402038574,1.1645700931549072,1.139051645535379
220,2.1895220279693604,1.7509000301361082,0.7996722607810228
221,0.8808515071868896,0.847987174987793,0.9626902696641196
222,1.1672461032867432,1.1635072231292725,0.9967968364623855
223,2.800405502319336,2.4280920028686523,0.8670501471510722
224,0.7967758178710938,1.2948265075683594,1.6250825872552306
225,4.573249340057373,4.484105110168457,0.9805074634553388
226,4.662092447280884,4.486099243164062,0.962250168544069
227,2.4762253761291504,2.902083158493042,1.171978603591243
228,5.455601215362549,5.471261501312256,1.0028704968218
229,1.289015293121338,1.1864426136016846,0.9204255526935801
230,1.080937385559082,,
231,2.8352477550506587,,
232,0.9634382724761964,,
233,4.229339122772217,4.221477746963502,0.9981412283147534
234,1.7672648429870603,,
235,0.7642586231231691,0.7464001178741455,0.976632903170861
236,1.2093009948730469,,
237,2.4218266010284424,,
238,0.7419083118438721,,
239,,,
240,1.3282301425933838,,
241,2.3633978366851807,,
242,1.0353369712829592,1.0189197063446045,0.9841430709095504
243,2.76977014541626,2.824254512786865,1.0196710790102101
244,1.6963706016540534,,
245,3.9450716972351074,3.972314357757568,1.0069054918676266
246,1.3664655685424805,1.3245370388031006,0.9693160730100925
247,1.656562566757202,2.196643114089966,1.3260248409391482
248,2.4397103786468506,2.45259690284729,1.0052819893349745
249,2.578856945037842,2.913111925125122,1.1296136184406986
250,1.3437325954437256,,
251,1.2109098434448242,1.178804874420166,0.973486903919019
252,0.7696113586425781,,
253,0.8156404495239258,,
254,0.915698766708374,,
255,2.0869674682617188,1.9716053009033203,0.9447225847490157
256,1.3249146938323977,1.321629762649536,0.997520647028708
257,0.7564768791198729,0.7906816005706787,1.045215818744654
258,2.685098648071289,,
259,1.251281976699829,,
260,3.6643168926239014,,
261,0.8319270610809326,0.9478552341461182,1.1393489627739224
262,0.7992589473724365,0.8048186302185059,1.00695604705377
263,1.4333155155181885,1.394099235534668,0.9726394645429185
264,1.494800329208374,2.0182545185089107,1.3501833516304822
265,1.9731054306030276,,
266,2.9324274063110347,2.622743368148804,0.8943932806330541
267,3.5060083866119385,3.506223201751709,1.0000612705721386
268,0.9986743927001952,0.9715371131896972,0.9728266993638188
269,1.5858960151672363,2.1003305912017822,1.3243810256880542
270,2.1558887958526607,,
271,3.3939132690429688,,
272,,,
273,1.3984792232513428,1.8916468620300293,1.3526456672213654
274,0.6804187297821045,,
275,3.373563528060913,,
276,1.4170172214508057,,
277,3.616854429244995,3.420179843902588,0.9456227533648728
278,2.878185749053955,,
279,0.9715356826782228,,
280,1.284306526184082,,
281,1.2533950805664062,1.234053373336792,0.984568547037161
282,1.1760387420654297,0.8345456123352051,0.7096242517228013
283,3.282214641571045,3.7206401824951167,1.1335761334347767
284,1.2428920269012451,,
285,3.5775754451751713,,
286,0.7213339805603027,0.7052285671234131,0.9776727370802917
287,1.1475186347961426,,
288,5.1697728633880615,5.134284257888794,0.9931353646597135
289,1.0366923809051514,,
290,4.6877524852752686,,
291,1.179175853729248,1.5382537841796875,1.3045160137182454
292,0.9710574150085448,,
293,1.101850986480713,1.0951387882232666,0.9939082522593323
294,4.483982563018799,,
295,1.077571153640747,,
296,1.7390947341918948,,
297,2.1621661186218257,,
298,1.3310651779174805,,
299,0.8392763137817383,0.8408482074737549,1.0018729155895436
300,2.526742458343506,,
301,,,
302,0.7106022834777832,,
303,1.1815228462219238,,
304,3.719193935394287,,
305,1.8126997947692869,,
306,1.554872989654541,,
307,3.5370402336120605,,
308,0.7241766452789307,,
309,1.682105302810669,,
310,1.850740909576416,,
311,,,
312,2.6485826969146733,,
313,2.5113677978515625,,
314,3.1633293628692627,,
315,1.1851663589477541,,
316,,,
317,3.193021535873413,,
318,5.423727750778198,,
319,1.1560909748077393,,
320,2.4355669021606445,,
321,1.103076457977295,,
322,1.504871845245361,1.908611536026001,1.2682884207424403
323,4.10141921043396,,
324,1.9952254295349123,1.9653775691986084,0.9850403568967836
325,1.1969833374023438,1.1760153770446775,0.9824826631228049
326,,,
327,0.8939316272735596,0.9220879077911376,1.0314971298235114
328,,,
329,2.8605690002441406,,
330,2.5451357364654545,2.5752978324890137,1.0118508791462126
331,3.3243722915649414,,
332,4.0138657093048105,,
333,,,
334,1.022648572921753,1.0180482864379885,0.9955015959484291
335,5.19906497001648,,
336,,,
337,4.531151056289673,,
338,4.0382158756256095,,
339,4.051308155059815,,
340,,,
341,0.8398525714874268,0.8122508525848389,0.9671350426971919
342,,,
343,0.9132637977600098,,
344,0.9655661582946776,,
345,,,
346,1.0218205451965332,,
347,1.396061658859253,,
348,1.135674238204956,,
349,,,
350,1.3541629314422607,,
351,4.197411060333252,,
352,0.8642218112945557,,
353,1.2818982601165771,,
354,2.9204437732696533,,
355,1.646751880645752,1.652143478393555,1.0032740802127937
356,0.926626205444336,,
357,2.6700780391693115,,
358,4.87770414352417,,
359,3.195133447647095,,
360,,,
361,,,
362,1.3014669418334959,1.3319313526153564,1.023407748443416
363,4.521788120269775,,
364,4.89219331741333,,
365,1.409284591674805,,
366,3.6020636558532715,2.894629955291748,0.8036032207781892
367,2.520247459411621,,
368,5.509736776351929,5.585219860076903,1.0136999437158145
369,1.4764754772186282,1.4568307399749756,0.9866948435332911
370,,,
371,0.9698350429534912,0.9990110397338868,1.030083463154254
372,0.972088098526001,,
373,0.6916651725769043,,
374,1.3717095851898191,,
375,2.285457134246826,,
376,0.826007604598999,,
377,1.547851324081421,2.1010942459106445,1.3574263969813432
378,2.0767054557800293,,
379,0.8236012458801271,,
380,5.8670785427093515,,
381,1.2856409549713137,,
382,1.0910763740539549,,
383,,,
384,1.168616771697998,,
385,,,
386,1.6924295425415041,,
387,0.9006438255310059,0.9001045227050781,0.9994012029943027
388,,,
