action,1,2,3,4,5,6,7,8,9,10,average
markdown2html,0.5656565656565656,0.5161290322580645,1.02,0.5736434108527132,0.6132075471698113,,,,,,0.657727311187431
video,0.46496815286624205,0.42045454545454547,0.6538461538461539,0.6589147286821705,0.4423076923076923,,,,,,0.5280982546313607
float_operation,0.638095238095238,0.5698924731182796,0.5704225352112676,0.3979591836734694,0.594059405940594,,,,,,0.5540857672077697
k-means,0.825,0.5299539170506913,0.36419753086419754,0.6590909090909091,0.6707317073170732,,,,,,0.6097948128645743
matmul,0.7444444444444445,0.3505747126436782,0.3128491620111732,0.6923076923076923,0.5231788079470199,,,,,,0.5246709638708017
image,0.5284552845528455,0.5853658536585366,0.22985781990521326,0.603448275862069,0.43005181347150256,,,,,,0.4754358094900334
map_reduce,0.6052631578947368,0.6226415094339622,0.638095238095238,0.7864077669902912,0.6521739130434783,,,,,,0.6609163170915414
network,0.5202312138728323,0.5701754385964912,0.5681818181818182,0.40476190476190477,0.4,,,,,,0.4926700750826093
linpack,0.4596774193548387,0.4507042253521127,0.39461883408071746,0.5585585585585585,0.22,,,,,,0.4167118074692455
disk,0.27217125382262997,0.5125,0.36318407960199006,0.5588235294117647,0.459375,,,,,,0.43321077256727697
couchdb_test,0.5699481865284974,0.45569620253164556,0.7796610169491526,0.8840579710144928,0.78125,,,,,,0.6941226754047577
