id,host,time,lender,renter
f207410037594c449a16d04e23206b00,172.20.185.121,1610281965.1331549,couchdb_test,linpack
e8af00e2b35e4198b1a9fa148a1e6063,172.20.185.123,1610281969.0602086,disk,linpack
2aa2589511c04a1ab2d742a19661b1e4,172.20.185.123,1610281970.1438682,disk,linpack
7f17a4c9cf584d088743f7b0d9c5887d,172.20.185.120,1610281972.9440546,network,disk
98cc121655524774aa81d6f9fce6afdb,172.20.185.120,1610281972.9968288,network,disk
5effd3e362f64e10b3988ac23f1e28a6,172.20.185.123,1610282291.014862,disk,float_operation
92811797ef9b4a0799e0f1b80035bdeb,172.20.185.123,1610282291.1011946,matmul,disk
9f92ca7213b84bd9887affa756d4b48a,172.20.185.119,1610282293.7404375,linpack,float_operation
0b3458d486f246e7999c8901c0620340,172.20.185.119,1610282293.8138363,linpack,disk
cb1fec9610e2479583b22f1b9d78f318,172.20.185.121,1610282297.358338,couchdb_test,linpack
0c8c879bf9054dce9c038cdca8f1ecf1,172.20.185.119,1610282298.757116,linpack,float_operation
30f863f832c243f690cc55e7db2c125d,172.20.185.119,1610282299.0716128,linpack,float_operation
aab9030927cb44f18b75457ceaf0b54c,172.20.185.123,1610282546.361216,matmul,video
f44126210cd84126876221633e03bb56,172.20.185.119,1610282547.0330637,linpack,video
1ab39ac8af7d4b95acfe0479e07e2ddd,172.20.185.119,1610282547.0424464,linpack,disk
a98c2cb56a55473a9ab69c1c25cfc49c,172.20.185.121,1610282550.9344244,couchdb_test,linpack
ee037772c8034bd4adcab5aa81d74433,172.20.185.121,1610282607.7479746,couchdb_test,markdown2html
983e79b93a8b41edad976e288568fab3,172.20.185.123,1610282726.7591026,matmul,float_operation
39b12d587cd042efa6096e5f2fb88031,172.20.185.119,1610282728.3714306,linpack,disk
5c609c1015be4ec485e6673ac381c621,172.20.185.122,1610282740.7754521,k-means,map_reduce
